Material,CO2_Factor(kg_CO2_per_kg)
OPC 43,0.92
OPC 53,0.95
Fly Ash,0.10
GGBS,0.07
M-Sand,0.01
20mm Coarse Aggregate,0.005
Water,0.00
PCE Superplasticizer,0.02
