Material,Cost(₹/kg)
OPC 33,6.0
OPC 43,6.2
OPC 53,6.5
PPC,5.8
Fly Ash,1.5
GGBS,2.0
Water,0.0
PCE Superplasticizer,45.0
Fine Aggregate,0.8
Coarse Aggregate,0.7
